Corruption,clean,adv,sigma0.1,sigma0.4
brightness-0,95.01,87.29,93.13,83.48
brightness-1,94.79,87.43,92.93,82.87
brightness-2,94.29,87.24,92.45,81.42
brightness-3,93.88,87.1,91.59,79.12
brightness-4,92.09,86.2,88.73,73.36
contrast-0,94.73,86.65,90.51,76.45
contrast-1,94.22,84.59,77.12,50.71
contrast-2,93.67,82.09,63.71,36.49
contrast-3,92.51,76.4,43.74,25.96
contrast-4,85.66,55.29,19.36,17.98
defocus_blur-0,94.82,86.55,92.26,82.64
defocus_blur-1,94.19,85.63,89.45,79.9
defocus_blur-2,90.87,84.17,84.43,77.58
defocus_blur-3,81.68,82.9,77.38,75.45
defocus_blur-4,66.06,78.48,56.58,69.24
elastic_transform-0,90.86,82.9,87.07,76.8
elastic_transform-1,91.01,82.73,86.82,76.97
elastic_transform-2,87.27,82.3,82.98,75.51
elastic_transform-3,80.25,80.82,78.4,74.4
elastic_transform-4,74.41,80.02,75.52,73.36
extra/gaussian_blur-0,94.84,86.6,92.31,82.67
extra/gaussian_blur-1,90.84,84.09,84.22,77.4
extra/gaussian_blur-2,81.65,82.78,76.93,74.62
extra/gaussian_blur-3,68.1,80.6,67.92,71.8
extra/gaussian_blur-4,41.09,76.57,49.77,65.38
extra/speckle_noise-0,85.6,86.67,93.3,84.37
extra/speckle_noise-1,72.15,85.09,93.2,84.5
extra/speckle_noise-2,64.54,83.85,93.03,84.62
extra/speckle_noise-3,51.41,79.52,90.84,84.63
extra/speckle_noise-4,40.5,74.04,85.34,84.63
fog-0,94.9,86.75,91.53,78.87
fog-1,94.75,84.65,86.05,65.5
fog-2,93.98,79.16,77.93,51.99
fog-3,91.69,68.41,64.11,38.62
fog-4,76.58,44.17,38.01,24.04
glass_blur-0,52.89,82.82,84.74,80.99
glass_blur-1,54.58,82.65,83.9,80.2
glass_blur-2,59.39,82.73,84.4,77.9
glass_blur-3,42.08,75.92,71.29,76.38
glass_blur-4,46.77,76.73,73.7,73.9
impulse_noise-0,81.87,82.45,92.65,84.42
impulse_noise-1,67.91,77.29,90.82,84.46
impulse_noise-2,57.36,72.48,87.51,84.73
impulse_noise-3,36.81,60.98,76.47,84.4
impulse_noise-4,22.51,50.86,60.23,84.48
jpeg_compression-0,85.21,86.28,92.08,83.69
jpeg_compression-1,79.29,85.58,90.75,83.07
jpeg_compression-2,77.41,85.34,90.07,82.83
jpeg_compression-3,73.93,85.14,89.29,82.68
jpeg_compression-4,69.95,84.73,87.82,82.43
motion_blur-0,90.97,84.83,86.87,79.09
motion_blur-1,85.21,82.61,78.43,74.95
motion_blur-2,78.93,79.48,67.46,70.41
motion_blur-3,79.17,79.3,67.49,70.26
motion_blur-4,71.65,76.05,57.7,65.47
pixelate-0,92.56,86.46,92.5,82.99
pixelate-1,86.89,86.09,91.56,82.33
pixelate-2,81.26,85.64,91.18,81.77
pixelate-3,63.13,85.13,88.56,80.47
pixelate-4,45.95,83.23,81.43,78.67
shot_noise-0,85.3,86.77,93.46,84.28
shot_noise-1,76.12,86.07,93.29,84.48
shot_noise-2,53.88,83.21,92.37,84.71
shot_noise-3,46.36,81.08,91.72,84.82
shot_noise-4,35.02,76.64,88.29,84.92
snow-0,90.35,85.91,92.29,83.58
snow-1,80.6,84.71,90.23,82.21
snow-2,84.54,81.3,87.26,79.51
snow-3,82.64,79.79,83.24,73.65
snow-4,78.35,81.19,83.63,71.21
zoom_blur-0,89.87,84.34,84.38,77.82
zoom_blur-1,87.17,83.81,82.48,76.97
zoom_blur-2,81.89,82.99,78.2,75.22
zoom_blur-3,75.73,82.12,73.74,73.72
zoom_blur-4,64.96,80.69,67.15,70.37

