corruption,clean,gaussian sigma0.4,clean (jpeg),gaussian sigma0.4 (jpeg)
zoom_blur-1,48.174,50.102,45.644,49.6
zoom_blur-2,36.246,39.124,34.642,39.326
zoom_blur-3,31.886,31.958,29.672,31.9
zoom_blur-4,24.086,25.006,23.05,25.37
zoom_blur-5,17.438,18.71,17.462,19.44
snow-1,?,?,54.47,56.028
snow-2,?,?,35.934,38.528
snow-3,?,?,33.902,38.464
snow-4,?,?,22.66,26.942
snow-5,?,?,18.556,23.038
frost-1,?,?,57.934,63.646
frost-2,?,?,39.422,49.304
frost-3,?,?,27.59,38.45
frost-4,?,?,25.546,36.434
frost-5,?,?,19.618,29.8
glass_blur-1,56.99,64.752,50.48,59.464
glass_blur-2,41.108,56.058,24.278,40.152
glass_blur-3,14.9169,31.658,11.554,24.816
glass_blur-4,11.158,25.572,5.696,14.116
glass_blur-5,7.99,18.97,4.492,10.348
brightness-1,73.732,73.282,71.482,72.328
brightness-2,72.342,72.368,70.126,71.144
brightness-3,70.184,70.378,67.692,68.822
brightness-4,66.378,66.884,63.524,64.732
brightness-5,60.446,60.956,57.084,58.764
jpeg_compression-1,?,?,64.456,68.758
jpeg_compression-2,?,?,60.668,66.36
jpeg_compression-3,?,?,57.88,64.084
jpeg_compression-4,?,?,45.386,52.296
jpeg_compression-5,?,?,26.202,25.758
pixelate-1,65.862,69.204,65.618,69.242
pixelate-2,63.908,69.154,54.854,64.258
pixelate-3,47.358,57.954,37.282,51.062
pixelate-4,23.822,38.516,19.608,29.302
pixelate-5,12.892,24.418,13.452,21.004
impulse_noise-1,60.814,71.618,54.36,59.42
impulse_noise-2,51.918,70.074,46.256,50.932
impulse_noise-3,43.564,68.626,39.058,42.838
impulse_noise-4,24.576,64.252,23.446,24.85
impulse_noise-5,9.086,57.296,10.328,10.486
contrast-1,68.198,66.528,62.502,63.876
contrast-2,63.392,60.634,55.626,57.308
contrast-3,53.878,47.57,42.024,42.434
contrast-4,30.698,17.34,16.172,13.122
contrast-5,9.746,2.798,3.362,2.07
motion_blur-1,?,?,59.068,60.472
motion_blur-2,?,?,49.376,49.896
motion_blur-3,?,?,34.326,33.848
motion_blur-4,?,?,20.112,19.372
motion_blur-5,?,?,13.504,13.04
defocus_blur-1,61.488,62.216,52.206,54.334
defocus_blur-2,53.338,56.506,44.012,46.772
defocus_blur-3,40.486,44.31,31.348,34.804
defocus_blur-4,27.888,32.334,16.634,17.566
defocus_blur-5,18.21,21.626,11.11,11.086
shot_noise-1,63.502,72.872,58.602,64.9
shot_noise-2,54.22,71.834,47.136,53.456
shot_noise-3,41.99,69.888,34.454,39.822
shot_noise-4,22.398,64.668,20.324,23.18
shot_noise-5,11.59,58.478,11.036,12.81
gaussian_noise-1,64.71,72.846,59.772,65.262
gaussian_noise-2,56.914,71.724,51.488,57.528
gaussian_noise-3,43.574,69.526,38.716,43.482
gaussian_noise-4,26.54,65.75,23.844,26.078
gaussian_noise-5,9.588,57.45,9.324,9.058
fog-1,67.274,65.148,61.334,62.91
fog-2,63.77,60.398,56.51,57.746
fog-3,59.51,53.752,51.188,51.292
fog-4,58.098,51.34,50.064,49.324
fog-5,50.996,39.586,42.874,40.34
elastic_transform-1,70.44,69.376,65.424,65.476
elastic_transform-2,51.88,51.562,46.428,45.642
elastic_transform-3,57.24,62.636,59.634,63.368
elastic_transform-4,39.882,51.112,48.166,55.22
elastic_transform-5,14.598,23.268,19.332,31.506
